domain,bl,dp,aby,acr,dmoz,status_com,status_net,status_org,status_de,status_tld_registered,related_cnobi,end_date
seobbsr.com,963,231,2007,239,-,registered,available,available,available,1,0,2023-12-09
MiniOfficeOutlets.com,4.9 K,231,2005,139,-,registered,available,available,available,1,0,2023-12-09
deallx.at,550,230,2011,166,-,registered,available,available,registered,5,3,2023-12-09
mein-sonnenschein.at,1.3 K,230,2010,177,-,available,available,registered,registered,6,2,2023-12-09
SimpleSoft.it,698,230,2001,162,-,registered,registered,registered,registered,56,107,2023-12-09
televisionpe.com,540,230,2009,230,-,registered,available,available,available,1,8,2023-12-09
nutricityonline.com,486,230,2002,113,-,registered,available,available,available,1,0,2023-12-09
GodOfHumor.com,35.9 K,230,2006,353,-,registered,available,available,available,1,0,2023-12-09
Outlet-Avenue.fr,562,229,2011,198,-,registered,available,available,available,4,0,2023-12-09
DirectGlobalMedia.com,548,229,2003,147,-,registered,available,available,available,1,0,2023-12-09
